,Title,Publish Date,Place of Accident,Dead,Cause Of Accident,Village Of Accident,Time,Road,Travel To,Travel From,Cars Involved,Cars ,Registration,Day Of Accident,Type Of Accident,Day_Night
243,Two killed in Budaka accident,2023-06-09,Budaka,2.0,,Nankone village,9.0,Iganga-Mbale,to Mbale,from Tirinyi,fuel tanker,Truck,,Friday,head on collision,Day
244,Rubanda primary teacher dies in motorcycle crash,2023-06-05,Rubanda,1.0,,Hamuhambo Town Council,6.0,,,,,,,,head on collision,Night
245,Kenyan truck knocks S4 student dead in Mpigi,2023-06-02,Masaka City,1.0,speeding,Nakirebe Village,7.0,Kampala-Masaka Highway,towards Kampala City,,Senior Four,Truck,,Nairobi,knocked pedestrian,Day
246,Five killed in Nakasongola road crash involving bus,2023-06-02,Nakasongola,5.0,speeding bus,Migyeera Village,4.0,Kampala-Gulu ,,from Arua City,bus,Bus,,Friday,head on collision,Night
247,Two pilgrims knocked dead along Kampala-Masaka Highway,2023-06-01,Masaka Diocese,2.0,,,3.0,Kampala-Masaka Highway,to Kampala,,Isuzu bus,Bus,,Thursday,knocked pedestrian,Night
248,Truck plunges into River Nile at Karuma,2023-06-20,Karuma Bridge,2.0,,Karuma Bridge,6.0,,to Kampala,from Gulu lost,truck,Truck,URN,,Plunged into Karuma,Night
249,MARACHA: Speeding vehicle knocks S4 student dead,2023-06-11,Maracha,1.0,speeding,Nyoro trading center,6.0,Maracha High Secondary School,towards Koboko town,from Arua city,Senior Four,Private cars,UBK,Saturday,,Night
250,"Five dead, scores injured on Kampala-Gulu highway crash",2023-06-02,Nakasongola Health,5.0,broken down in the night.,,5.0,Kampala- Gulu ,to Kampala City,,bus,Bus,UBB,,rammed into stationary  truck,Night
251,"One dead, four injured after car tyre burst in Bushenyi",2023-05-30,Bushenyi,1.0,car tyre burst,Akayembe Trading Centre,17.0,Ishaka-Kasese Highway,,from Katerera,Toyota Hiace,Commuter taxi,,Tumusiime,overturned,Day
252,Seven injured after garbage truck rams into pilgrims in Jinja,2023-05-27,Bugiri District.,,,Jinja Central,12.0,Mailo-Bili while,,from Busowa Catholic,truck,Truck,,Seven,knocked pedestrian,Day
